incorrect,correct
0 මම නැටුම් නටද්ීද ළයමා ගෙදර යැවෙහු,0 මම නැටුම් නටද්දී ළමයා ගෙදර යැවෙහු
1 මම නටැුම් නටද්දී ළමයා ගෙදර යවැෙයි,1 මම නැටුම් නටද්දී ළමයා ගෙදර යැවෙයි
0 මම නැටු්ම නටද්දී ළමයා ගෙර යැවෙති,0 මම නැටුම් නටද්දී ළමයා ගෙදර යැවෙති
1 ම නැටුම් නටද්දී ළයමා ගෙදර යැවවෙයි,1 මම නැටුම් නටද්දී ළමයා ගෙදර යැවවෙයි
0 මම නැටුම් නටදද්ී ළමයා ගෙදර යැවවති,0 මම නැටුම් නටද්දී ළමයා ගෙදර යැවවෙති
1 මම නැටුම් නටද්දී ළමයා ගෙදර යැවවේ,1 මම නැටුම් නටද්දී ළමයා ගෙදර යැවවේ
1 මම නැටුම් නටද්දී ළමයි ගෙදර යති,1 මම නැටුම් නටද්දී ළමයි ගෙදර යති
0 මම ැනටුම් නටද්දී ළමයි ගෙදර යත්වා,0 මම නැටුම් නටද්දී ළමයි ගෙදර යත්වා
0 මම නැටු් නටද්දී ළමයි ගෙදර යනවා,0 මම නැටුම් නටද්දී ළමයි ගෙදර යනවා
0 ම නැටුම් නටද්දී ළමයි ගෙදර යනවාලා,0 මම නැටුම් නටද්දී ළමයි ගෙදර යනවාලා
0 මම ැනටුම් නටද්දී ළමයි ගෙදර යුන,0 මම නැටුම් නටද්දී ළමයි ගෙදර යනු
0 මම නැටුම් නටද්දී ළමිය ගෙදර නය්න,0 මම නැටුම් නටද්දී ළමයි ගෙදර යන්න
0 මම නැටුම් නටද්දී ළමයි ගෙදර යන්නීය,0 මම නැටුම් නටද්දී ළමයි ගෙදර යන්නීය
0 මම නැටුම් නට්දී ළමයි ගෙදර යන්නෙමි,0 මම නැටුම් නටද්දී ළමයි ගෙදර යන්නෙමි
0 ම නැටුම් නටද්දී ළමයි ගෙදර යන්නෙමිවා,0 මම නැටුම් නටද්දී ළමයි ගෙදර යන්නෙමිවා
0 මම නැටුම් නටද්දී මළයි ෙදර යන්නෙමු,0 මම නැටුම් නටද්දී ළමයි ගෙදර යන්නෙමු
0 මම නැටුම නටද්දී ළමයි ගෙදර යන්නෙමුවා,0 මම නැටුම් නටද්දී ළමයි ගෙදර යන්නෙමුවා
0 මම නැටුම් නටද්දී ළමි ගෙද යන්නෙහි,0 මම නැටුම් නටද්දී ළමයි ගෙදර යන්නෙහි
0 මම නැටුම් නටද්දී ළමයි ගෙදර යන්නෙහිා,0 මම නැටුම් නටද්දී ළමයි ගෙදර යන්නෙහිවා
0 මම නැටුම් නටද්දී ළමයි ෙදර යන්නේය,0 මම නැටුම් නටද්දී ළමයි ගෙදර යන්නේය
1 ම නැටුම් නටද්දී ළමයි ගෙදර ය්නනෝය,1 මම නැටුම් නටද්දී ළමයි ගෙදර යන්නෝය
0 ම නැටුම් නටද්දී ළමයි ෙගදර යමි,0 මම නැටුම් නටද්දී ළමයි ගෙදර යමි
0 මම නැටුම් නට්දදී ළමයි ගෙදර යමිවා,0 මම නැටුම් නටද්දී ළමයි ගෙදර යමිවා
0 මම නැටුම් නටද්දී ළමයි ගෙර යමු,0 මම නැටුම් නටද්දී ළමයි ගෙදර යමු
0 මම නැටුම් නටද්දී ළමයි ගෙදර මයුවා,0 මම නැටුම් නටද්දී ළමයි ගෙදර යමුවා
0 මම නැටු්ම නටද්දී ළමයි ගෙදර යයි,0 මම නැටුම් නටද්දී ළමයි ගෙදර යයි
0 මම නැටුම් නටද්දී ළමයි ගෙදර යව,0 මම නැටුම් නටද්දී ළමයි ගෙදර යව
1 මම නැටුම් නද්දී ළමයි ගෙදර යවති,1 මම නැටුම් නටද්දී ළමයි ගෙදර යවති
0 මම නැටුම් නටද්දී ළමයි ගෙදර යවන්නීය,0 මම නැටුම් නටද්දී ළමයි ගෙදර යවන්නීය
0 මම නැටුම් නද්දී ළමයි ගෙදර යවන්නෙමි,0 මම නැටුම් නටද්දී ළමයි ගෙදර යවන්නෙමි
0 ම නැටුම් නටද්දී ළමයි ගෙදර යවන්නෙු,0 මම නැටුම් නටද්දී ළමයි ගෙදර යවන්නෙමු
0 මම නැටුම් ටද්දී ළමයි ගෙදර යවන්නෙහි,0 මම නැටුම් නටද්දී ළමයි ගෙදර යවන්නෙහි
0 මම නැටුම් නටද්දී ළමයි ගෙදර යවන්නෙහු,0 මම නැටුම් නටද්දී ළමයි ගෙදර යවන්නෙහු
0 මම නැටු් නටද්දී ළමයි ගෙදර යවන්නයේ,0 මම නැටුම් නටද්දී ළමයි ගෙදර යවන්නේය
1 මම නැටුම් නටද්දී ළමය ගෙදර යවන්නෝය,1 මම නැටුම් නටද්දී ළමයි ගෙදර යවන්නෝය
0 මම නැුටම් නටද්දී ළමයි ගෙදර යවමි,0 මම නැටුම් නටද්දී ළමයි ගෙදර යවමි
0 මම නැටුම් නටද්දී ළමයි ගෙදර යමු,0 මම නැටුම් නටද්දී ළමයි ගෙදර යවමු
0 ම නැටුම් නටද්දී ළයි ගෙදර යවයි,0 මම නැටුම් නටද්දී ළමයි ගෙදර යවයි
0 මම නැටමු් නටද්දී ළමයි ගෙදර යවහි,0 මම නැටුම් නටද්දී ළමයි ගෙදර යවහි
0 මම නැටුම් නටද්දී ළමයි ගෙදර වයහු,0 මම නැටුම් නටද්දී ළමයි ගෙදර යවහු
0 මම නැටුම් නටද්ීද ළමයි ගෙදර යවු,0 මම නැටුම් නටද්දී ළමයි ගෙදර යවු
0 මම නැටුම් නටද්දී ළමයි ගෙදර යහි,0 මම නැටුම් නටද්දී ළමයි ගෙදර යහි
0 මම නැටුම් ටද්දී ළමයි ගෙදර යහිවා,0 මම නැටුම් නටද්දී ළමයි ගෙදර යහිවා
0 මම නැටුම් නටද්දී ළමයි ගෙදර යු,0 මම නැටුම් නටද්දී ළමයි ගෙදර යහු
0 මම නැටුම් නටද්දී ළමයි ගෙදර යහුවා,0 මම නැටුම් නටද්දී ළමයි ගෙදර යහුවා
0 මම නැටුම් නටද්දී ළමයි ගෙදර යනලදී,0 මම නැටුම් නටද්දී ළමයි ගෙදර යනලදී
0 මම නැටුම් නටද්දී ළයි ගෙදර ගියෙමි,0 මම නැටුම් නටද්දී ළමයි ගෙදර ගියෙමි
0 මම නැටුම් නටද්දී ළමයි ගෙදර ගියමෙු,0 මම නැටුම් නටද්දී ළමයි ගෙදර ගියෙමු
0 මම නැටුම් නටදද්ී ළමය ගෙදර ගියෙහි,0 මම නැටුම් නටද්දී ළමයි ගෙදර ගියෙහි
0 මම නැටුම් නටද්දී ළමයි ගදර ගියෙහු,0 මම නැටුම් නටද්දී ළමයි ගෙදර ගියෙහු
0 මම නැටුම් නටද්දී ළමයි ෙදර ගියාය,0 මම නැටුම් නටද්දී ළමයි ගෙදර ගියාය
0 මම නැුම් නටද්දී ළයි ගෙදර ගියේය,0 මම නැටුම් නටද්දී ළමයි ගෙදර ගියේය
1 ම නැටුම් නටද්දී ළමයි ගෙදර ගියෝය,1 මම නැටුම් නටද්දී ළමයි ගෙදර ගියෝය
0 මම නැටුම් නටද්දී ළමයි ගෙදර යැේ,0 මම නැටුම් නටද්දී ළමයි ගෙදර යැවේ
0 මම නැටම් නටද්දී ළමයි ගෙදර යැවෙමි,0 මම නැටුම් නටද්දී ළමයි ගෙදර යැවෙමි
0 මම නැටුම් නටද්දී ළමයි ගෙදර යැවෙම,0 මම නැටුම් නටද්දී ළමයි ගෙදර යැවෙමු
0 මම නැටුම් නටද්දී ළමයි ගෙදර ැවෙහ,0 මම නැටුම් නටද්දී ළමයි ගෙදර යැවෙහි
0 මම නැටමු් නටද්දී ළමයි ගෙදර යැවෙහු,0 මම නැටුම් නටද්දී ළමයි ගෙදර යැවෙහු
0 මම නැටුම් නටද්දී ළමයි ගෙදර යැවෙයි,0 මම නැටුම් නටද්දී ළමයි ගෙදර යැවෙයි
1 ම නැටුම් නටද්දී ළමයි ගෙදර යැවෙිත,1 මම නැටුම් නටද්දී ළමයි ගෙදර යැවෙති
0 ම නැටුම් නටද්දී ළමයි ගෙදර යැවවෙයි,0 මම නැටුම් නටද්දී ළමයි ගෙදර යැවවෙයි
1 මම නැටුම් නටද්දී ළමයි ගදරෙ යැවවෙති,1 මම නැටුම් නටද්දී ළමයි ගෙදර යැවවෙති
0 මම නැටම් නටද්දී ළමයි ෙගදර යැවවේ,0 මම නැටුම් නටද්දී ළමයි ගෙදර යැවවේ
0 මම නැටු්ම නටද්දී වාහනය ගෙදර යති,0 මම නැටුම් නටද්දී වාහනය ගෙදර යති
1 මම නැටුම් නටද්දී වාහනය ගෙදර තය්වා,1 මම නැටුම් නටද්දී වාහනය ගෙදර යත්වා
0 මම නැටුම් නටද්දී වාහනය ෙගදර යනවා,0 මම නැටුම් නටද්දී වාහනය ගෙදර යනවා
0 මම ැනටුම් නටද්දී ාහනය ගෙදර යනවාලා,0 මම නැටුම් නටද්දී වාහනය ගෙදර යනවාලා
0 මම නැටමු් නටද්දී වාහන ගෙදර යනු,0 මම නැටුම් නටද්දී වාහනය ගෙදර යනු
0 මම නැටුම් නටද්දී වාහනය ගෙදර ්යනන,0 මම නැටුම් නටද්දී වාහනය ගෙදර යන්න
1 මම නටැුම් නටද්දී වාහනය ගෙදර යන්නීය,1 මම නැටුම් නටද්දී වාහනය ගෙදර යන්නීය
0 මම නැටුම් නටද්දී වාහනය ගෙදර යන්නෙමි,0 මම නැටුම් නටද්දී වාහනය ගෙදර යන්නෙමි
0 මම නැටුම් නටද්දී වාහනය ගදෙර යන්නෙමිවා,0 මම නැටුම් නටද්දී වාහනය ගෙදර යන්නෙමිවා
0 ම නැටුම් නටද්දී වාහනය ගෙදර යන්නෙමු,0 මම නැටුම් නටද්දී වාහනය ගෙදර යන්නෙමු
0 මම නැටුම් නටදද් වාහනය ගෙදර යන්නෙමුවා,0 මම නැටුම් නටද්දී වාහනය ගෙදර යන්නෙමුවා
0 මම නැටුම් නටද්දී වාහනය ගෙදර යන්නෙහි,0 මම නැටුම් නටද්දී වාහනය ගෙදර යන්නෙහි
0 මම නැටුම් නටද්ීද වාහනය ගෙදර යන්නෙහිාව,0 මම නැටුම් නටද්දී වාහනය ගෙදර යන්නෙහිවා
1 මම නැටු් නටද්දී වාහනය ගෙද යන්නේය,1 මම නැටුම් නටද්දී වාහනය ගෙදර යන්නේය
0 ම නැටුම් නටද්දී වාහනය ගෙර යන්නෝය,0 මම නැටුම් නටද්දී වාහනය ගෙදර යන්නෝය
0 මම නැටුම් නටද්දී වාහනය ගෙර යමි,0 මම නැටුම් නටද්දී වාහනය ගෙදර යමි
0 මම නැටුම් නටද්දී වාහනය ගෙදර යමිවා,0 මම නැටුම් නටද්දී වාහනය ගෙදර යමිවා
0 මම නැටුම් නටද්දී වාහනය ගෙදර යමු,0 මම නැටුම් නටද්දී වාහනය ගෙදර යමු
0 මම නැටුම් නට්දී වාහනය ගෙදර යමවුා,0 මම නැටුම් නටද්දී වාහනය ගෙදර යමුවා
1 මම නැටුම් ටනද්දී වානය ගෙදර යයි,1 මම නැටුම් නටද්දී වාහනය ගෙදර යයි
0 මම නැටුම් නටද්දී වාහනය ගෙදර යව,0 මම නැටුම් නටද්දී වාහනය ගෙදර යව
0 මම නැටමු් නටද්ීද වාහනය ගෙදර යවති,0 මම නැටුම් නටද්දී වාහනය ගෙදර යවති
1 මම නැටුම් නටද්දී වානහය ගෙදර යවන්නීය,1 මම නැටුම් නටද්දී වාහනය ගෙදර යවන්නීය
0 මම නැටුම් නටදදී වාහනය ගෙදර යවන්නෙමි,0 මම නැටුම් නටද්දී වාහනය ගෙදර යවන්නෙමි
0 මම ැටුම් නටද්දී වාහනය ගෙදර යවන්නෙමු,0 මම නැටුම් නටද්දී වාහනය ගෙදර යවන්නෙමු
0 මම නැටුම් නට්දදී වාහනය ගෙදර යවන්නෙහි,0 මම නැටුම් නටද්දී වාහනය ගෙදර යවන්නෙහි
0 මම නැටුම් නටද්ීද වාහනය ගෙදර යවන්නෙහු,0 මම නැටුම් නටද්දී වාහනය ගෙදර යවන්නෙහු
1 ම නැටු් නටද්දී වාහනය ගෙදර යවන්නේය,1 මම නැටුම් නටද්දී වාහනය ගෙදර යවන්නේය
0 මම නැටුම් නටද්දී වාහනය ගෙදර යවන්නෝය,0 මම නැටුම් නටද්දී වාහනය ගෙදර යවන්නෝය
0 ම නැටුම් නටද්දී වාහනය ගෙදර යවමි,0 මම නැටුම් නටද්දී වාහනය ගෙදර යවමි
0 මම නැටුම් නටද්දී වාහනය ගදෙර යවමු,0 මම නැටුම් නටද්දී වාහනය ගෙදර යවමු
1 මම නැටුම් නටද්දී වාහනය ගෙදර යවයි,1 මම නැටුම් නටද්දී වාහනය ගෙදර යවයි
0 මම නැටුම් නටද්දී වාහයන ගෙදර යවහි,0 මම නැටුම් නටද්දී වාහනය ගෙදර යවහි
0 මම නැටුම් ටනද්දී වාහනය ගෙදර යවහු,0 මම නැටුම් නටද්දී වාහනය ගෙදර යවහු
0 මම නැටුම් නටද්දී වාහනය ගෙදර යවු,0 මම නැටුම් නටද්දී වාහනය ගෙදර යවු
0 මම නැුම් නටද්දී වාහනය ගදෙර යහි,0 මම නැටුම් නටද්දී වාහනය ගෙදර යහි
0 මම ැටුම් නටද්දී වාහනය ගෙදර යහිවා,0 මම නැටුම් නටද්දී වාහනය ගෙදර යහිවා
0 මම නැටුම් නටද්දී වහානය ගෙදර යහ,0 මම නැටුම් නටද්දී වාහනය ගෙදර යහු
0 ම නැුම් නටද්දී වාහනය ගෙදර යහුවා,0 මම නැටුම් නටද්දී වාහනය ගෙදර යහුවා
0 මම නැටු්ම නටද්දී වාහනය ගෙදර යනලදී,0 මම නැටුම් නටද්දී වාහනය ගෙදර යනලදී
0 මම නැටුම් නටද්දී වාහයන ගෙර ගියෙමි,0 මම නැටුම් නටද්දී වාහනය ගෙදර ගියෙමි
0 මම නැටුම් නටද්දී වාහනය ගෙදර ගියෙමු,0 මම නැටුම් නටද්දී වාහනය ගෙදර ගියෙමු
0 මම නැටුම් නටද්දී වාහනය ගෙදර ගියෙහි,0 මම නැටුම් නටද්දී වාහනය ගෙදර ගියෙහි
0 මම නැටුම් නටද්ීද වාහනය ගෙදර ගියෙහු,0 මම නැටුම් නටද්දී වාහනය ගෙදර ගියෙහු
1 මම නැටු්ම නටද්දී වාහනය ගෙදර ගියාය,1 මම නැටුම් නටද්දී වාහනය ගෙදර ගියාය
1 මම නැටුම් නටද්දී වාහනය ගෙදර ියේය,1 මම නැටුම් නටද්දී වාහනය ගෙදර ගියේය
0 මම නැටුම් නටද්දී වාහනය ගෙදර ගියෝය,0 මම නැටුම් නටද්දී වාහනය ගෙදර ගියෝය
1 මම නැටුම් නද්දී වානහය ගෙදර යැවේ,1 මම නැටුම් නටද්දී වාහනය ගෙදර යැවේ
0 මම නැටුම් නටද්දී ාවහනය ගෙදර යැවෙමි,0 මම නැටුම් නටද්දී වාහනය ගෙදර යැවෙමි
0 මම නැටුම් නටද්දී වාහනය ෙදර යැවෙමු,0 මම නැටුම් නටද්දී වාහනය ගෙදර යැවෙමු
0 මම නැටුම් නටද්දී වාහනය ගෙදර යැවහෙි,0 මම නැටුම් නටද්දී වාහනය ගෙදර යැවෙහි
0 මම නැටුම් නටද්දී වාහය ගෙදර යැෙවහු,0 මම නැටුම් නටද්දී වාහනය ගෙදර යැවෙහු
1 මම නැටුම නටද්දී වාහනය ගෙදර යැවෙයි,1 මම නැටුම් නටද්දී වාහනය ගෙදර යැවෙයි
0 මම නැටුම් ටද්දී වාහනය ගෙදර යැවෙති,0 මම නැටුම් නටද්දී වාහනය ගෙදර යැවෙති
1 මම නැටුම් නටද්දී වාහනය ගෙදර යැවවෙයි,1 මම නැටුම් නටද්දී වාහනය ගෙදර යැවවෙයි
0 මම නැටුම් නටද්දී වානහය ගදෙර යැවවෙති,0 මම නැටුම් නටද්දී වාහනය ගෙදර යැවවෙති
1 මම නැටුම් නටද්දී වාහනය ගෙදර යැවවේ,1 මම නැටුම් නටද්දී වාහනය ගෙදර යැවවේ
0 මම නටුම් නටද්දී වාහන ගෙදර යති,0 මම නැටුම් නටද්දී වාහන ගෙදර යති
1 ම නැටුම් නටද්දී වාහන ගෙදර යත්වා,1 මම නැටුම් නටද්දී වාහන ගෙදර යත්වා
0 මම නටැුම් නටද්දී වාහන ගෙදර යනවා,0 මම නැටුම් නටද්දී වාහන ගෙදර යනවා
0 මම නැටුම් ටනද්දී වාහන ගෙදර යනවාලා,0 මම නැටුම් නටද්දී වාහන ගෙදර යනවාලා
0 මම නැටුම් නටද්දී වාහන ගෙද නු,0 මම නැටුම් නටද්දී වාහන ගෙදර යනු
0 මම නැටුම් නටද්දී වාන ගෙදර යන්න,0 මම නැටුම් නටද්දී වාහන ගෙදර යන්න
1 මම නැටුම් නටද්දී වාහ ගෙදර යන්නීය,1 මම නැටුම් නටද්දී වාහන ගෙදර යන්නීය
0 ම නැටුම් නටද්දී වාහන ගෙදර යන්නෙමි,0 මම නැටුම් නටද්දී වාහන ගෙදර යන්නෙමි
0 මම නැටුම් දට්දී වාහන ගෙදර යන්නෙමිවා,0 මම නැටුම් නටද්දී වාහන ගෙදර යන්නෙමිවා
0 ම නැටුම් නටද්දී වාහන ගෙදර යන්නෙමු,0 මම නැටුම් නටද්දී වාහන ගෙදර යන්නෙමු
0 මම නැටුම් නටද්දී වාහන ගෙදර යන්නමුවා,0 මම නැටුම් නටද්දී වාහන ගෙදර යන්නෙමුවා
0 මම නැටුම් නටදද්ී වාහන ගෙදර ය්නනෙහි,0 මම නැටුම් නටද්දී වාහන ගෙදර යන්නෙහි
0 මම නැටුම් නටද්දී වාහන ගෙදර යන්නෙහිවා,0 මම නැටුම් නටද්දී වාහන ගෙදර යන්නෙහිවා
1 මම නැටුම් නටද්දී වාහන ගෙදර යන්නේය,1 මම නැටුම් නටද්දී වාහන ගෙදර යන්නේය
0 මම ැනටුම් නටද්දී වාහන ගෙදර යන්නෝය,0 මම නැටුම් නටද්දී වාහන ගෙදර යන්නෝය
0 ම නැටුම් නටද්දී වාහන ගෙදර යමි,0 මම නැටුම් නටද්දී වාහන ගෙදර යමි
0 මම නැටුම් නටද්දී වාහන ගෙදර යමිවා,0 මම නැටුම් නටද්දී වාහන ගෙදර යමිවා
0 මම නැටුම් ටනද්දී වාහන ගෙද යමු,0 මම නැටුම් නටද්දී වාහන ගෙදර යමු
0 ම නැටුම් නටද්දී වාහන ගෙදර යමුාව,0 මම නැටුම් නටද්දී වාහන ගෙදර යමුවා
1 ම නැටුම් නටද්දී වාහන ගෙදර යයි,1 මම නැටුම් නටද්දී වාහන ගෙදර යයි
0 ම නැටුම් නටද්දී වාහන ගෙදර යව,0 මම නැටුම් නටද්දී වාහන ගෙදර යව
0 මම නටුම් නටද්දී වාහන ගෙදර යවති,0 මම නැටුම් නටද්දී වාහන ගෙදර යවති
1 ම නැටුම් නටද්දී වාහන ගෙදර යවන්නීය,1 මම නැටුම් නටද්දී වාහන ගෙදර යවන්නීය
0 මම නැටුම් නටද්දී වාහන ගෙදර වන්නෙමි,0 මම නැටුම් නටද්දී වාහන ගෙදර යවන්නෙමි
0 මම නැටුම් නද්දී වාහන ගෙදර යවන්නෙමු,0 මම නැටුම් නටද්දී වාහන ගෙදර යවන්නෙමු
0 මම නැුටම් නටද්දී වාහන ගෙදර යවන්නෙහි,0 මම නැටුම් නටද්දී වාහන ගෙදර යවන්නෙහි
0 මම නැටුම් නටද්ද වාහන ගෙදර යවන්නෙහු,0 මම නැටුම් නටද්දී වාහන ගෙදර යවන්නෙහු
1 මම නැටුම් ටද්දී වාහන ගෙදර යවන්ේනය,1 මම නැටුම් නටද්දී වාහන ගෙදර යවන්නේය
0 මම නැටම් නටද්දී වාහන ගෙද යවන්නෝය,0 මම නැටුම් නටද්දී වාහන ගෙදර යවන්නෝය
0 මම නැටුම් නටද්දී වහන ගෙදර යවමි,0 මම නැටුම් නටද්දී වාහන ගෙදර යවමි
0 මම නැටුම් නටද්දී වාහන ගෙද යවමු,0 මම නැටුම් නටද්දී වාහන ගෙදර යවමු
1 මම නැටුම් නටද්දී වාහන ගෙදර යයි,1 මම නැටුම් නටද්දී වාහන ගෙදර යවයි
0 මම නැටුම් නටද්දී ාහන ගෙදර යවහි,0 මම නැටුම් නටද්දී වාහන ගෙදර යවහි
0 මම නැටු් නටද්ීද වාහන ගෙදර යවහු,0 මම නැටුම් නටද්දී වාහන ගෙදර යවහු
0 මම නැටුම් නටද්දී වාහන ගෙදර යවු,0 මම නැටුම් නටද්දී වාහන ගෙදර යවු
0 මම නැටුම් නටද්දී ාහන ගෙදර හයි,0 මම නැටුම් නටද්දී වාහන ගෙදර යහි
0 මම නැටුම් නටද්දී වාහන ගෙදර යහිවා,0 මම නැටුම් නටද්දී වාහන ගෙදර යහිවා
0 මම නැටුම් නටද්දී වානහ ගෙදර යහු,0 මම නැටුම් නටද්දී වාහන ගෙදර යහු
0 ම නැටුම් නටද්දී වාහන ගෙදර යහුවා,0 මම නැටුම් නටද්දී වාහන ගෙදර යහුවා
0 මම නැටුම් නටද්දී වාහන ෙදර යනලදී,0 මම නැටුම් නටද්දී වාහන ගෙදර යනලදී
0 මම නැටුම නටද්දී වාහන ගෙදර ගියමෙි,0 මම නැටුම් නටද්දී වාහන ගෙදර ගියෙමි
0 මම නැටුම් නටද්දී ාවහන ගෙදර ගියෙමු,0 මම නැටුම් නටද්දී වාහන ගෙදර ගියෙමු
0 මම ැටුම් නටද්දී වාහන ගෙරද ගියෙහි,0 මම නැටුම් නටද්දී වාහන ගෙදර ගියෙහි
0 ම නැටුම් නටද්දී වාහන ගෙදර ගියෙහු,0 මම නැටුම් නටද්දී වාහන ගෙදර ගියෙහු
1 මම නැටුම් නටද්දී වාහන ගෙදර ගියාය,1 මම නැටුම් නටද්දී වාහන ගෙදර ගියාය
1 මම නැටුම් නටද්දී වාහන ගෙදර ගියේය,1 මම නැටුම් නටද්දී වාහන ගෙදර ගියේය
0 මම නැටුම් නටද්දී වාහ ගෙදර ගයෝය,0 මම නැටුම් නටද්දී වාහන ගෙදර ගියෝය
1 මම නැටුම් නටද්දී වාහන ගදර යැවේ,1 මම නැටුම් නටද්දී වාහන ගෙදර යැවේ
0 මම නැටමු් නටද්දී වාහන ගෙදර යැවෙමි,0 මම නැටුම් නටද්දී වාහන ගෙදර යැවෙමි
0 මම නැටු් නටද්දී වාහන ගෙදර යැවෙමු,0 මම නැටුම් නටද්දී වාහන ගෙදර යැවෙමු
0 මම නැටුම් නටද්දී වාන ගෙදර යැවෙහි,0 මම නැටුම් නටද්දී වාහන ගෙදර යැවෙහි
0 මම නැටුම් නටද්දී වාහන ගෙදර යැෙවහු,0 මම නැටුම් නටද්දී වාහන ගෙදර යැවෙහු
1 මම නැටුම් නටද්දී වාහන ගෙදර යැෙයි,1 මම නැටුම් නටද්දී වාහන ගෙදර යැවෙයි
0 ම නැටුම් නදට්දී වාහන ගෙදර යැවෙති,0 මම නැටුම් නටද්දී වාහන ගෙදර යැවෙති
1 ම නැටුම් නද්දී වාහන ගෙදර යැවවෙයි,1 මම නැටුම් නටද්දී වාහන ගෙදර යැවවෙයි
0 මම නැටුම් නදට්දී වාහන ගෙදර යැවවෙති,0 මම නැටුම් නටද්දී වාහන ගෙදර යැවවෙති
1 මම ැටුම් නටද්දී වාහන ගෙදර යැවවේ,1 මම නැටුම් නටද්දී වාහන ගෙදර යැවවේ
0 ම නැටුම් නටද්දී ලස්සන මම ගෙදර යති,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යති
0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යත්වා,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යත්වා
0 මම ැටුම් නටද්දී ලස්සන මම ගෙදර යනවා,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යනවා
0 මම නැටුම් නටද්දී ලස්සන ම ගෙදර යනවාලා,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යනවාලා
0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යනු,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යනු
0 මම නැටුම් නටදද්ී ලස්සන ම ගෙදර යන්න,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යන්න
0 මම නැටුම් නටද්දී ලස්සන මම ගෙරද යන්නීය,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යන්නීය
1 මම නැටමු් නටද්දී ලස්සන මම ගෙදර යන්නෙමි,1 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යන්නෙමි
1 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යන්නෙමිවා,1 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යන්නෙමිවා
0 මම නැටුම් ටද්දී ලස්සන මම ගෙදර යන්නෙමු,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යන්නෙමු
0 මම නැටුම් නටද්දී ල්සන මම ගෙදර යන්නෙමුවා,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යන්නෙමුවා
0 ම නැටුම් නටද්දී ලස්සන මම ගෙදර යන්නෙහි,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යන්නෙහි
0 මම නටැුම් නටද්දී ලස්සන මම ගෙදර යන්නෙහිවා,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යන්නෙහිවා
0 මම නැටුම් නටද්දී ලස්සන ම ගෙදර යන්නේය,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යන්නේය
0 මම නැටු් නටද්දී ලස්සන මම ගෙද යන්නෝය,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යන්නෝය
1 ම නැටුම් නටද්දී ලස්සන මම ගෙදර යමි,1 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යමි
1 මම නැටුම් නටද්දී ලස්සන මම ගදෙර යමිවා,1 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යමිවා
0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යමු,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යමු
0 මම නැටු් නටද්දී ලස්සන මම ගෙදර යමුාව,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යමුවා
0 මම නැටුම් නටද්දී ලස්සන ම ගෙදර යයි,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යයි
0 මම නැටුම් නටද්දී ස්න මම ගෙදර යව,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යව
0 ම නටැුම් නටද්දී ලස්සන මම ගෙදර යවති,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවති
0 මම නටැුම් නටද්දී ලස්සන මම ගෙදර යවන්නීය,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවන්නීය
1 මම නැටුම් නටද්දී ස්සන මම ගෙදර යවන්නෙමි,1 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවන්නෙමි
0 මම නැටු් ටද්දී ලස්සන මම ගෙදර යවන්නෙමු,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවන්නෙමු
0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යන්නෙහි,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවන්නෙහි
0 මම නැටුම් නටද්දී ලස්සන මම ගෙර යවන්නෙහු,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවන්නෙහු
0 මම නටුම් නටද්දී ලස්සන මම ගෙදර යවන්නේය,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවන්නේය
0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවන්නෝය,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවන්නෝය
